exchange_point_id; region; country; city; long_name; status; media_type; organization_type; establishment; url; member_list_url; looking_glass_url; participants; traffic; prefixes
1849; Europe; Albania; Tirana; Albania IX; Active; Ethernet; Commercial;20110000; http://www.albtelecom.al/en/dedicated-service/infrastructure/434-alb-ix; http://www.albtelecom.al/en/dedicated-service/infrastructure/434-alb-ix; ;8;0;0
932; Africa; Angola; Luanda; Angola Internet Exchange; Active; Ethernet; Association;20060317; http://www.angola-ixp.ao; http://www.angola-ixp.ao/membros.php; ;10;600000;0
1848; Africa; Angola; Luanda; ANGONIX; Active; Ethernet; Commercial;20150309; http://angonix.net; http://angonix.net/customers-partners/customers/; http://lg.angonix.net;3;800000;13
1499; Europe; Armenia; Yerevan; Armenian Internet Traffic Exchange; Active; Ethernet; Association;20100000; http://www.armix.am/; http://www.armix.am/eng/members.php; ;8;0;0
14; Europe; Austria; Graz; Grazer Internet Exchange; Active; Ethernet; Association;20100304; http://www.grax.at/; http://www.grax.at/index.html; ;16;36365;0
1225; Europe; Austria; Klagenfurt; Alpes Adria Internet Exchange; Active; Ethernet; Association;20100000; http://www.aaix.at/; http://www.aaix.at/; ;12;150000;245
1896; Europe; Austria; Salzburg; SAlzburg Internet eXchange; Active; Ethernet; Association;20150515; https://www.saix.at; https://www.saix.at/members.html; https://www.saix.at/lg;13;64000;0
15; Europe; Austria; Vienna; Vienna Internet Exchange; Active; Ethernet; University;19960400; http://www.VIX.at/; http://www.vix.at/vix_participants.html; http://www.vix.at/vix_lookingglass.html;118;312220000;145453
1065; Europe; Bahrain; Manama; Gateway Gulf Internet Exchange Bahrain; Active; Ethernet; Commercial;20090401; http://www.gatewaygulf.bh; ; ;3;0;0
17; Europe; Belgium; Brussels; Belgian National Internet Exchange; Active; Ethernet; Governmental;19950000; http://www.bnix.net/; http://www.bnix.net/members.php; ;51;105000000;0
1838; Africa; Benin; Cotonou; Benin Point dåÕÌächange Internet; Active; Ethernet; Association;20131200; http://www.benin-ix.org.bj; ; ;5;673797;124
367; Africa; Botswana; Gaborone; Botswana Internet Exchange; Active; Ethernet; Association;20051000; http://www.info.bw/bispa/binx.html; http://www.info.bw/bispa/binx.html; ;9;0;0
1194; Europe; Bulgaria; Sofia; Balkan Internet Exchange; Active; Ethernet; Association;20100000; http://www.b-ix.net; http://www.b-ix.net/members/peers/; http://lg.b-ix.net/;35;108910000;0
1137; Europe; Bulgaria; Sofia; Bulgarian Internet eXchange; Active; Ethernet; Commercial;20090801; http://www.bix.bg/en/; http://www.bix.bg/en/bix.bg_members.html; http://lg.bix.bg/;64;134490000;140443
1623; Europe; Bulgaria; Sofia; NetIX; Active; Ethernet; Commercial;20130101; http://www.netix.net; http://netix.net/members; http://lg.netix.bg/;53;74140000;861633
546; Africa; Burundi; Bujumbura; BurundiX Internet Exchange Point; Active; Ethernet; Association;20140321; http://www.burundix.bi; ; ;1;39;0
1541; Africa; Congo-Brazzaville; Brazzaville; Congo Brazzaville IX; Active; Ethernet; Governmental;20130510; ; ; ;6;20;0
479; Africa; Congo-Kinshasa; Kinshasa; Kinshasa Internet Exchange; Active; Ethernet; Association;20021100; http://www.ispa-drc.cd/kinix.htm; http://www.ispa-drc.cd/kinix.htm#Membres; ;6;2500;0
1801; Africa; Cote D'Ivoire; Abidjan; CÌ«te d'Ivoire Internet Exchange Point; Active; Ethernet; Governmental;20131003; www.civix.ci; http://www.civix.ci/index.php/membres/membres-connectes; ;2;45550;0
51; Europe; Croatia; Zagreb; Croatian Internet Exchange; Active; ; University;20050000; http://www.cix.hr/; http://www.cix.hr/cix_clanice.html; http://www.cix.hr/index.php?id=lg&L=1;28;19680000;0
53; Europe; Cyprus; Lefkosia; Cyprus Internet Exchange; Active; Ethernet; University;19990000; http://www.cytanet.com.cy/network/cyix/; ; ;3;10000;0
612; Europe; Czech Republic; Brno; Commercial Brno Internet Exchange; Active; Ethernet; Commercial;20070512; http://www.cbix.cz/en; http://www.cbix.cz/en/connected-networks; ;7;0;0
613; Europe; Czech Republic; Prague; Neutral czFree eXchange; Active; Ethernet; Association;20070000; http://www.nfx.cz; http://www.nfx.cz/clenove; ;19;38990000;0
55; Europe; Czech Republic; Prague; Neutral Internet Exchange; Active; Ethernet; Association;19960800; http://www.nix.cz; http://www.nix.cz/en/members; ;80;324350000;0
1758; Europe; Czech Republic; Prague; Peering.cz; Active; Ethernet; Commercial;20121017; http://www.peering.cz; http://peering.cz/en/traffic; http://lg.peering.cz;74;225000000;90371
1853; Europe; Denmark; Copenhagen; Content-IX; Active; Ethernet; Commercial;20120200; www.content-ix.dk; http://www.globalconnect.dk/produkter/internet/ip-transit/content-ix-medlemsliste; ;10;0;0
56; Europe; Denmark; Copenhagen; Danish Internet Exchange; Active; Ethernet; University;19940500; http://www.dix.dk/; http://www.dix.dk/connectednetworks/; ;41;36000000;0
1781; Europe; Denmark; Copenhagen; Netnod COMIX; Active; Ethernet; Association;20140500; www.netnod.se; http://www.netnod.se/ix/members; ;27;45678000;0
59; Africa; Egypt; Cairo; Cairo Internet Exchange; Active; Ethernet; Governmental;20020500; http://www.caix.net.eg/; http://www.caix.net.eg/index.php/member-list; ;8;1390000;3891
593; Africa; Egypt; Cairo; Middle East Internet eXchange; Active; Ethernet; Commercial;20070500; http://www.gpxglobal.net/; ; ;10;27;0
1365; Europe; Estonia; Tallinn; Tallinn Governmental Internet Exchange; Active; Ethernet; Governmental;20090700; http://www.rtix.ee/rtix/; ; ;7;0;983
68; Europe; Estonia; Tallinn; Tallinn Internet Exchange (TIX); Active; Ethernet; Commercial;20020000; http://tix.estpak.ee; http://tix.estpak.ee/?members; ;13;425250;0
1516; Europe; Finland; Espoo; Finnish Communication and Internet Exchange Espoo; Active; Ethernet; Association;19930000; http://www.ficix.fi/english/main.php; http://www.ficix.fi/english/member.php; ;23;19100000;0
69; Europe; Finland; Helsinki; Finnish Communication and Internet Exchange Helsinki; Active; Ethernet; Association;19930000; http://www.ficix.fi/english/main.php; http://www.ficix.fi/english/member.php; ;25;36000000;0
1515; Europe; Finland; Oulu; Finnish Communication and Internet Exchange Oulu; Active; Ethernet; Association;20080000; http://www.ficix.fi/english/main.php; http://www.ficix.fi/english/member.php; ;23;900000;0
70; Europe; Finland; Tampere; Tampere Region Exchange; Active; Ethernet; University;20030803; http://www.trex.fi/; http://www.trex.fi/members.html; ;14;1450000;1150
712; Europe; France; Alsace; EuroGIX; Active; Ethernet; Association;20020304; http://www.eurogix.net/; http://www.eurogix.net/fr/membres-eurogix; ;6;23650;0
1373; Europe; France; Grenoble; GrenoblIX; Active; ; Association;20130000; http://www.grenoblix.net/; http://communication.rezopole.net/participants.php?ix=grenoblix; ;2;0;0
1854; Europe; France; Lille; Lillix; Active; Ethernet; Association;20140627; http://www.lillix.fr; http://www.lillix.fr/membres/; ;8;0;0
1815; Europe; France; Nantes; Ouest IX; Active; Ethernet; Association;20140402; http://www.ouestix.fr; ; ;4;0;0
1097; Europe; France; Paris; Equinix Paris; Active; Ethernet; Commercial;20080000; http://www.equinix-ix.fr; http://www.equinix-ix.fr/members.php; ;232;0;112472
1658; Europe; France; Paris; FR-IX 75; Active; Ethernet; Association;20100505; http://www.fr-ix.fr/; https://mon.nap75.fr-ix.fr/p-liste.php; https://mon.nap75.fr-ix.fr/p-lg.php;13;0;0
1124; Europe; France; Paris; France-IX; Active; Ethernet; Association;20101100; http://www.france-ix.fr/; https://www.franceix.net/en/members-resellers/members/; https://tools.franceix.net/lg;222;510430430;152777
629; Europe; France; Paris; French National Internet Exchange IPv6; Active; Ethernet; Commercial;20021101; http://www.fnix6.net; http://www.fnix6.net/members/; ;20;0;0
74; Europe; France; Paris; Mix Internet Exchange and Transit; Active; ; Commercial;19990000; http://www.mixt.net/; http://www.mixt.net/membres?PHPSESSID=d70789dd2193dfc12c377b1c95fbe580; ;7;0;0
78; Europe; France; Paris; Service for French Internet Exchange; Active; Ethernet; Association;19950000; https://www.sfinx.fr/; https://www.sfinx.fr/; ;95;26400000;14895
1231; Europe; France; Saint Etienne; The Saint-Etienne Internet eXchange Point; Active; Ethernet; Association;20110100; http://www.saintetix.net/; http://www.saintetix.net/en/members-area; ;2;0;0
1230; Europe; France; Toulouse; Le GIX de la grande region Toulousaine; Active; Ethernet; Association;20090416; http://www.touix.net/; http://www.touix.net/node/6; ;11;0;0
1375; Europe; France; Valence; The ArdÌ¬che and DrÌ«me Internet eXchange Point ; Active; Ethernet; Association;20120000; http://www.adn-ix.net/en/; http://www.adn-ix.net/en/adnix-members; https://noc.rezopole.net/lg/;2;0;0
1887; Africa; Gabon; Libreville; Gabon Internet Exchange; Active; Ethernet; Association;0; http://www.gabix.ga; ; ;4;0;0
1811; Africa; Gambia; Serrekunda; Serrekunda Internet Exchange Point; Active; Ethernet; Association;20130725; www.sixp.gm; http://www.sixp.gm/about.html; http://www.sixp.gm/services.html#Looking_Glass;14;24295;103
80; Europe; Germany; Berlin; Berlin Commercial Internet Exchange; Active; Ethernet; Association;20020906; http://www.bcix.de/; http://www.bcix.de/bcix/mitglieder/; ;57;67000000;174243
81; Europe; Germany; Berlin; European Commercial Internet Exchange Berlin; Active; Ethernet; Commercial;20030000; http://www.ecix.net/; http://www.ecix.net/about-us/members/; ;47;286000000;101755
1855; Europe; Germany; Bremen; BREM-IX; Active; Ethernet; Commercial;20130000; http://www.brem-ix.net; ; ;4;0;0
1856; Europe; Germany; Dortmund; Dortmund Internet exchange; Active; Ethernet; Association;20130901; https://www.do-ix.net; https://www.do-ix.net/members; ;6;0;0
82; Europe; Germany; DÌ_sseldorf; European Commercial Internet Exchange DÌ_sseldorf; Active; Ethernet; Commercial;20030000; http://www.ecix.net/; http://www.ecix.net/about-us/members/; ;97;22930000;132403
1667; Europe; Germany; DÌ_sseldorf; OpenCarrier e.G. Member IX Duesseldorf; Active; Ethernet; Association;20070500; http://www.opencarrier.eu/; http://www.opencarrier.eu/2-mitglieder.html; ;10;0;0
83; Europe; Germany; Frankfurt; Deutscher Commercial Internet Exchange; Active; Ethernet; Association;19950500; https://www.de-cix.net/; https://www.de-cix.net/customers-partners/customers/de-cix-frankfurt/; http://lg.de-cix.net/;677;4843100200;899296
1663; Europe; Germany; Frankfurt; European Commercial Internet Exchange; Active; Ethernet; Commercial;20130408; http://www.ecix.net/; http://www.ecix.net/about-us/members/; ;125;0;134001
717; Europe; Germany; Frankfurt; Frankfurt Network Access Point; Active; ; Association;20031001; http://www.franap.net/; ; ;10;0;0
556; Europe; Germany; Frankfurt; KleyReX Internet Exchange; Active; Ethernet; Commercial;20020900; http://www.kleyrex.net/; http://www.kleyrex.net/teilnehmer.php; ;138;3060000;0
1670; Europe; Germany; Frankfurt; OpenCarrier e.G. Member IX Frankfort; Active; Ethernet; Association;20070500; http://www.opencarrier.eu/; http://www.opencarrier.eu/2-mitglieder.html; ;8;0;0
88; Europe; Germany; Hamburg; DE-CIX Hamburg; Active; Ethernet; Association;20080000; http://www.de-cix.net/products-services/de-cix-hamburg/; http://www.de-cix.net/customers-partners/customers/de-cix-hamburg/; ;32;54900000;0
1052; Europe; Germany; Hamburg; European Commercial Internet Exchange Hamburg; Active; Ethernet; Commercial;20090121; http://www.ecix.de; http://www.ecix.eu/members.shtml; ;38;0;124234
86; Europe; Germany; Hamburg; Internet Exchange Hamburg; Active; Ethernet; Commercial;20001000; http://www.inxs.de; http://www.inxs.de/public/cgi-bin/showmembers; https://support.cw.com/prod/tools_lookingglass.html?CW=68b5b2fbf2bd809834bceba6d6519385;30;21000000;0
87; Europe; Germany; Hamburg; XchangePoint Hamburg IPP; Active; Ethernet; Unknown;20030400; http://www.xchangepoint.net; ; ;2;0;0
1271; Europe; Germany; Munich; DE-CIX Munich; Active; Ethernet; Association;20100400; http://www.de-cix.net/products-services/de-cix-munich/; http://www.de-cix.net/customers-partners/customers/de-cix-munich/; ;24;20000000;0
89; Europe; Germany; Munich; Internet Exchange Service; Active; Ethernet; Commercial;19940600; http://www.inxs.de; http://www.inxs.de/public/cgi-bin/showmembers; ;40;21000000;46466
92; Europe; Germany; Nuremberg; NÌ_rnberger Internet Exchange; Active; Ethernet; Association;20030000; http://www.n-ix.de; http://www.n-ix.net/teilnehmerliste.html?&L=2; http://www.n-ix.net/lg.html;19;4800000;8942
705; Europe; Germany; Stuttgart; Stuttgarter Internet Exchange; Active; Ethernet; Association;20050400; http://www.s-ix.info/; http://www.s-ix.info/Teilnehmer.htm; http://six.interscholz.net/;16;1484460;0
93; Africa; Ghana; Accra; Ghana Internet Exchange; Active; Ethernet; Association;20051018; http://www.gixa.org.gh; http://www.gixa.org.gh/?page_id=12; ;24;743100;0
94; Europe; Greece; Athens; Greek Internet Exchange; Active; Ethernet; Association;20000000; http://www.gr-ix.gr/; http://www.gr-ix.gr/members/; ;15;32000000;0
99; Europe; Hungary; Budapest; Budapest Internet Exchange; Active; Ethernet; Association;19960000; http://www.bix.hu/; http://www.bix.hu/index.php3?lang=en&page=members; http://www.bix.hu/lg/lg.cgi;50;131900000;0
100; Europe; Iceland; Reykjavik; Reykjavik Internet Exchange; Active; ; Association;19990000; http://www.rix.is; http://www.rix.is/connected.html; ;21;7436369;0
1902; Europe; Iran; Tehran; Tehran IXP; Active; MPLS; Governmental;20141000; ; ; ;6;0;0
1105; Europe; Ireland; Cork; Cork Neutral Internet Exchange; Active; Ethernet; Association;20090717; http://www.cnix.ie; http://www.cnix.ie/members.html; ;14;0;0
116; Europe; Ireland; Dublin; Internet Neutral Exchange Association Limited; Active; Ethernet; Association;19960000; http://www.inex.ie; https://www.inex.ie/about/memberlist; ;100;88000000;144183
1108; Europe; Ireland; Galway; eXchange West; Active; Ethernet; Association;20090604; http://www.exwest.net; http://www.exwest.net; ;3;0;0
117; Europe; Israel; Tel Aviv; Israeli Internet Exchange; Active; Layer-3; Association;19960000; http://www.isoc.org.il/iix/index.html; http://www.isoc.org.il/iix/2x_list.html; http://www.isoc.org.il/iix/2x_looking_glass.html;19;10300000;0
506; Europe; Italy; Florence; Tuscany Internet Exchange; Active; Ethernet; Association;20030000; https://www.tix.it/en/web/guest/home; http://www.e.toscana.it/e-toscana/it/elenco_isp.wp; ;31;447520;0
118; Europe; Italy; Milan; Milan Internet Exchange; Active; Ethernet; Association;20001100; http://www.mix-it.net/; http://www.mix-it.net/index.php?option=com_content&view=article&id=85&Itemid=84&lang=en; ;109;284634000;0
1233; Europe; Italy; Milan; Milan Neutral Access Point; Active; Ethernet; University;20080000; http://www.minap.it/; http://www.minap.it/members/; ;19;0;0
1128; Europe; Italy; Padova; VSIX NAP del Nord Est; Active; Ethernet; University;20090901; http://www.vsix.it; http://www.vsix.it/VSIX/VSIX_completo/Aderenti.html; ;23;3050000;0
120; Europe; Italy; Rome; NaMeX - Nautilus Mediterranean Exchange Point; Active; Ethernet; Association;19960000; http://www.namex.it; http://www.namex.it/en/who/members; ;53;29197000;0
121; Europe; Italy; Torino; Torino Piemonte Exchange Point; Active; Ethernet; Association;20020000; http://www.top-ix.org; http://www.top-ix.org/peering; ;74;48870000;7542
1132; Europe; Italy; Udine; Friuli Venezia Giulia Internet Exchange; Active; ; Commercial;20090000; http://www.fvg-ix.net/; http://www.fvg-ix.net/index.php?option=com_content&view=article&id=63&Itemid=67&lang=en; ;7;0;0
143; Africa; Kenya; Nairobi; Kenya Internet Exchange Point; Active; Ethernet; Association;20010200; http://www.kixp.or.ke; http://www.kixp.or.ke/index.php?option=com_content&task=view&id=41&Itemid=23; ;29;1320000;2635
1702; Europe; Kosovo; PrishtinÌÇ; KOSIX Internet Exchange Point; Active; Ethernet; Governmental;20110623; http://www.kosix.net; http://www.kosix.net/en-us/members/listofmembers.aspx; ;4;60000;0
1236; Europe; Latvia; Riga; Santa Monica Internet Local Exchange; Active; Ethernet; Commercial;20051011; http://www.smile-ixp.net/; ; http://lg.smile.smn.lv/cgi-bin/lg/lg.cgi;29;8900000;327
693; Europe; Lebanon; Beirut; Beirut Internet Exchange; Active; Ethernet; Association;20071206; http://www.beirutix.net; ; ;9;63360;0
1897; Africa; Liberia; Monrovia; Liberia Internet Exchange Point; Active; Ethernet; Association;20150804; ; ; ;6;100;0
1859; Europe; Liechtenstein; Eschen; Rheintal Internet Exchange; Active; Ethernet; Association;20111027; http://www.rheintal-ix.net; http://www.rheintal-ix.net/rheintal_ix/participants/; ;12;167210;0
1576; Europe; Lithuania; Vilnius; Lithuania Internet Exchange; Active; Ethernet; Commercial;20100000; http://www.litix.lt; ; ;5;3340000;0
926; Europe; Lithuania; Vilnius; Lithuanian Internet service providers exchange unit; Active; Ethernet; Governmental;20080000; http://is.lt/; ; ;24;0;0
1234; Europe; Luxembourg; Luxembourg; Luxembourg Commercial Internet Exchange; Active; Ethernet; Commercial;20100000; http://www.lu-cix.lu/; http://www.lu-cix.lu/members-list.html; ;44;40000000;0
1029; Africa; Malawi; Blantyre; Malawi IXP; Active; Ethernet; Association;20081201; http://www.mispa.org.mw/mix.html; http://www.mispa.org.mw/members.html; ;21;10000;160
155; Europe; Malta; Msida; Malta Internet Exchange; Active; Ethernet; University;19990907; http://www.mix.net.mt; http://www.mix.net.mt/participants.html; ;12;0;0
156; Africa; Mauritius; Ebene; Mauritius Internet Exchange; Active; Ethernet; Association;20051200; http://www.mixp.org/index.html; http://www.mixp.org/index.html#members; ;8;58000;95
158; Africa; Mozambique; Maputo; Mozambique Internet Exchange; Active; Ethernet; University;20020700; http://www.mozix.org.mz; http://www.mozix.org.mz/membros.htm; ;24;129756;0
1784; Africa; Namibia; Windhoek; Windhoek IXP; Active; Ethernet; Association;20140307; http://www.ixp.org.na; ; ;5;50000;66
